时间	Default1	Default2	Default3	Default4	Default5	Default6	Default7	Default8	TC1控制温度	TC1实际温度	TC1实际输出电压	TC1实际输出电流	TC1实际输出功率	TC2控制温度	TC2实际温度	TC2实际输出电压	TC2实际输出电流	TC2实际输出功率	压力(电压值)	压力(g)	步进电机当前位置	温度	湿度	LD设定温度(度)	LD实际温度(度)	LD设定温度(脉冲值)	LD实际温度(脉冲值)	LD PWM(功率)
45995.8872974537	0	26.625	26.625	0	0	0	0	0	0	30.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8881400463	0	26.57	26.57	0	0	0	0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8891875	0	26.45	26.45	0	0	0	0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.88953125	0	26.655	26.655	0	0	0	0	0	0	30.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8898287037	0	26.61	26.61	0	0	0	0	0	0	30.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.889875	0	26.625	26.625	0	0	0	0	0	0	30.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.89021875	0	26.63	26.63	0	0	0	0	0	0	30.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.89115625	0	26.635	26.635	0	0	0	0	0	0	30.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8912025463	0	26.545	26.545	0	0	0	0	0	0	30.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8915625	0	26.695	26.695	0	0	0	0	0	0	30.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.89190625	0	26.575	26.575	0	0	0	0	0	0	30.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8925474537	0	26.575	26.575	0	0	0	0	0	0	30.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.89284375	0	26.6	26.6	0	0	0	0	0	0	30.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8928900463	0	26.645	26.645	0	0	0	0	0	0	30.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8932974537	0	26.59	26.59	0	0	0	0	0	0	30.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.89375	0	26.565	26.565	0	0	0	0	0	0	30.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
